040T22441S66_8_E 	2-DD1.11: 8
040T22441S66_8_  	2-DD1.11: 9
040T22441S66_8_F 	
040T22222S07_1_H 	2-DD1.11: 13
040T22222S07_1_I 	2-DD1.11: 14
040T22222S07_1_C 	2-DD1.11: 15
040T22222S07_1_D 	2-DD1.11: 16
040T22222S07_1_T 	2-DD1.11: 17
040T22222S07_1_A 	2-DD1.11: 18
040T22222S07_1_E 	2-DD1.11: 19
040T22222S07_1_B 	2-DD1.11: 22
040T22222S07_1_  	2-DD1.11: 23
040T22222S38_2_H 	
040T22222S38_2_I 	2-DD1.11: 25
040T22222S38_2_C 	2-DD1.11: 26
040T22222S38_2_D 	2-DD1.11: 27
040T22222S38_2_T 	2-DD1.11: 28
040T22222S38_2_A 	2-DD1.11: 29
040T22222S38_2_E 	2-DD1.11: 32
040T22222S38_2_B 	2-DD1.11: 33
040T22222S38_2_F 	2-DD1.11: 34
040T22222S51_3_  	2-DD1.5: 2
040T22222S51_3_I 	
040T22222S51_3_C 	2-DD1.5: 4
040T22222S51_3_D 	2-DD1.5: 5
040T22222S51_3_T 	2-DD1.5: 6
040T22222S51_3_A 	2-DD1.5: 7
040T22222S51_3_E 	2-DD1.5: 8
040T22222S51_3_B 	2-DD1.5: 9
040T22222S51_3_F 	2-DD1.5: 12
040T22222S37_4_H 	2-DD1.5: 13
040T22222S37_4_  	2-DD1.5: 14
040T22222S37_4_C 	
040T22222S37_4_D 	2-DD1.5: 16
040T22222S37_4_T 	2-DD1.5: 17
040T22222S37_4_A 	2-DD1.5: 18
040T22222S37_4_E 	2-DD1.5: 19
040T22222S37_4_B 	2-DD1.5: 22
040T22222S37_4_F 	2-DD1.5: 23
040T22222S61_5_H 	2-DD1.5: 24
040T22222S61_5_I 	2-DD1.5: 25
040T22222S61_5_  	2-DD1.5: 26
040T22222S61_5_D 	
040T22222S61_5_T 	2-DD1.5: 28
040T22222S61_5_A 	2-DD1.5: 29
040T22222S61_5_E 	2-DD1.5: 32
040T22222S61_5_B 	2-DD1.5: 33
040T22222S61_5_F 	2-DD1.5: 34
040T22222S61_6_H 	2-DD1.12: 2
040T22222S61_6_I 	2-DD1.12: 3
040T22222S61_6_C 	2-DD1.12: 4
040T22222S61_6_  	2-DD1.12: 5
040T22222S61_6_T 	
